fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
3,7,Ay,Kinematic,-0.006993006993007089,0.0,-0.0038992196830445747
3,7,Jx,Kinematic,0.006993006993006867,0.04166666666666663,0.0074269668961309265
3,7,Jy,Kinematic,-0.006993006993007089,0.04166666666666663,-0.0002168845413296483
3,7,Age,Demographic,0.0,0.0,0.000243354141017893
3,7,Gender,Demographic,0.0,0.0,-7.835255242311101e-06
3,8,X,Kinematic,0.020979020979020824,0.0,0.010324225744853838
3,8,Y,Kinematic,0.09090909090909072,0.08333333333333337,0.06791483246957265
3,8,Pressure,Kinematic,0.013986013986013845,0.04166666666666663,0.014131093543608628
3,8,Azimuth,Kinematic,-1.1102230246251565e-16,0.0,0.001963021164097134
3,8,Tilt,Kinematic,0.0,0.0,0.0014204050485348563
3,8,PenStatus,Kinematic,-1.1102230246251565e-16,0.0,0.0038901241776410495
3,8,Vx,Kinematic,-0.013986013986014068,0.04166666666666663,-0.0018515083671491739
3,8,Vy,Kinematic,0.055944055944055826,0.08333333333333337,0.041973004951679535
3,8,Ax,Kinematic,0.0,0.04166666666666663,-0.004629839576290373
3,8,Ay,Kinematic,-0.006993006993007089,-0.04166666666666663,-0.02253266026986575
3,8,Jx,Kinematic,0.013986013986013845,0.04166666666666663,0.016258543928571137
3,8,Jy,Kinematic,-0.013986013986014179,0.0,-0.013022799105348315
3,8,Age,Demographic,0.0,0.0,0.0002011802709324384
3,8,Gender,Demographic,0.0,0.0,-0.0014251972076504
4,1,X,Kinematic,0.0,-0.04166666666666663,0.0016972059437581968
4,1,Y,Kinematic,0.027972027972027913,0.04166666666666663,0.04082931648820794
4,1,Pressure,Kinematic,0.0,0.0,0.006588265725191257
4,1,Azimuth,Kinematic,0.0,-0.04166666666666663,-0.002116987836509661
4,1,Tilt,Kinematic,0.0,-0.04166666666666663,0.0006021441516839143
4,1,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.009456611058844683
4,1,Vx,Kinematic,0.0,0.04166666666666663,0.030909751138562022
4,1,Vy,Kinematic,0.034965034965035,0.125,0.06220288982170734
4,1,Ax,Kinematic,0.0,0.0,0.0002605125852586168
4,1,Ay,Kinematic,0.0,0.0,0.004692539155683885
4,1,Jx,Kinematic,0.0,0.0,0.004377186893202024
4,1,Jy,Kinematic,0.0,0.0,0.006651770745652395
4,1,Age,Demographic,0.0,0.0,0.00021306904442488367
4,1,Gender,Demographic,0.0,0.0,0.00027315771228950125
4,2,X,Kinematic,0.0,-0.08333333333333337,-0.005018036608034078
4,2,Y,Kinematic,0.020979020979021046,0.04166666666666663,0.033336212226782
4,2,Pressure,Kinematic,0.0,-0.04166666666666663,0.002124481875576033
4,2,Azimuth,Kinematic,0.0,0.0,-0.0016229906321624243
